Display,Name,Lat,Long,Zoom
All,All,0,0,2
ALABAMA,ALABAMA,32.5,-86.5,7
ALASKA,ALASKA,62.7 ,-156,4
ARIZONA,ARIZONA,34,-112,7
ARKANSAS,ARKANSAS,35,-92,8
CALIFORNIA,CALIFORNIA,37,-119,6
COLORADO,COLORADO,39,-105.5,8
CONNECTICUT,CONNECTICUT,41.5,-72.8,9
DELAWARE,DELAWARE,39,-75.3,9
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,38.9,-77,12
FLORIDA,FLORIDA,28.3,-82.7,7
GEORGIA,GEORGIA,32.5,-83.7,7
HAWAII,HAWAII,20.4,-157.2,7
IDAHO,IDAHO,45.5,-113.4,7
ILLINOIS,ILLINOIS,40.1,-88.2,7
INDIANA,INDIANA,39.7,-86.1,8
IOWA,IOWA,42.1,-93.7,8
KANSAS,KANSAS,38.5,-98.4,8
KENTUCKY,KENTUCKY,37.8,-84.7,7
LOUISIANA,LOUISIANA,31.1,-92.1,8
MAINE,MAINE,45.6,-69.5,7
MARYLAND,MARYLAND,39.1,-76.6,8
MASSACHUSETTS,MASSACHUSETTS,41.9,-71.7,9
MICHIGAN,MICHIGAN,43.9,-84.8,7
MINNESOTA,MINNESOTA,46.1,-93.4,7
MISSISSIPPI,MISSISSIPPI,32.5,-89.5,7
MISSOURI,MISSOURI,38.1,-92.1,7
MONTANA,MONTANA,46.8,-109.9,7
NEBRASKA,NEBRASKA,41.2,-100.1,7
NEVADA,NEVADA,38.7,-116.7,7
NEW HAMPSHIRE,NEW HAMPSHIRE,43.8,-71.5,8
NEW JERSEY,NEW JERSEY,40.2,-74.5,8
NEW MEXICO,NEW MEXICO,34.1,-106.5,7
NEW YORK,NEW YORK,43.2,-75.8,7
NORTH CAROLINA,NORTH CAROLINA,35.7,-79.4,7
NORTH DAKOTA,NORTH DAKOTA,47.5,-100.2,8
OHIO,OHIO,40.2,-82.9,8
OKLAHOMA,OKLAHOMA,35.8,-98.2,7
OREGON,OREGON,43.9,-120.5,7
PENNSYLVANIA,PENNSYLVANIA,40.9,-77.4,8
RHODE ISLAND,RHODE ISLAND,41.7,-71.6,10
SOUTH CAROLINA,SOUTH CAROLINA,33.9,-81.2,8
SOUTH DAKOTA,SOUTH DAKOTA,44.5,-100.2,8
TENNESSEE,TENNESSEE,35.7,-86.2,7
TEXAS,TEXAS,31.8,-98.4,6
UTAH,UTAH,39.5,-111.7,7
VERMONT,VERMONT,43.8,-72.7,8
VIRGINIA,VIRGINIA,37.8,-79.2,8
WASHINGTON,WASHINGTON,47.4,-119.7,7
WEST VIRGINIA,WEST VIRGINIA,38.8,-80.5,8
WISCONSIN,WISCONSIN,44.3,-89.3,7
WYOMING,WYOMING,42.9,-108.5,7